filename,x,y
3825081026188481897.jpg,-3.583693,-2.251635
3826488990052940840.jpg,-8.042425,-5.6566744
3826847349230546490.jpg,-6.886869,-5.529119
3827091572966092173.jpg,-6.9276643,-5.789427
3831044472323226547.jpg,-7.1276402,-3.3678124
3834053412543841811.jpg,-2.5101624,-2.1456
3834607261436372664.jpg,-6.861303,-5.352588
3836121840456936682.jpg,-7.3899364,-5.022863
sa2059.jpg,8.709702,1.1829437
sa3652.jpg,11.422935,0.30781138
sa3653.jpg,9.719417,-0.43379015
sa3654.jpg,10.655438,0.524742
sa3655.jpg,12.835066,-0.24348274
sa3657.jpg,11.555957,2.2951813
sa3723.jpg,11.666938,-1.2670009
sa4039.jpg,17.187761,1.7059593
sa4140.jpg,16.615328,1.3188158
sa4142.jpg,12.525835,-1.5010148
sa4706.jpg,17.635492,0.775101
sa4985.jpg,14.694183,-0.764567
sa4986.jpg,16.869621,-1.1112323
sa5024.jpg,9.966001,0.96316093
sa5025.jpg,10.488744,-3.785559
sa5028.jpg,12.688818,1.6503314
sa5029.jpg,15.255301,-0.86096287
sa5030.jpg,9.936606,1.7495463
sa5031.jpg,-7.914058,2.2848625
sa5032.jpg,10.625904,-0.45658776
sa5033.jpg,11.43038,-1.3584412
sa5054.jpg,4.28549,-0.047409248
sa5100.jpg,6.946584,-2.8800683
sa5101.jpg,8.5631695,-3.5462584
sa5121.jpg,7.8196225,-2.352864
sa5135.jpg,8.38079,-1.1816852
sa5136.jpg,3.7546034,-1.2831882
sa5137.jpg,12.751701,-0.9946986
sa5138.jpg,6.432623,-2.650368
sa5139.jpg,10.280384,-2.9864678
sa5140.jpg,8.203336,2.229068
sa5141.jpg,15.5492,0.5293896
sa5142.jpg,9.705091,1.9562936
sa5143.jpg,6.86924,0.6881274
sa5144.jpg,10.663009,-1.1804706
sa5181.jpg,9.371418,2.3991206
sa5212.jpg,13.186624,2.1829538
sa5213.jpg,10.510371,1.0512083
sa5214.jpg,11.167744,-1.0041324
sa5215.jpg,14.733013,2.1202712
sa5216.jpg,14.950746,1.773237
sa5217.jpg,10.701861,-1.829307
sa5218.jpg,10.098137,-0.70135695
sa5219.jpg,6.280121,2.4078364
sa5220.jpg,4.2681084,-1.2254272
sa5222.jpg,14.489335,-2.36952
sa5223.jpg,8.0718775,-2.73033
sa5224.jpg,15.89796,1.9500328
sa5246.jpg,12.306605,-0.18354358
sa5248.jpg,10.268494,0.5538169
sa5249.jpg,10.750565,2.726682
sa5250.jpg,9.903274,-2.9974282
sa5251.jpg,9.246482,3.0501225
sa5252.jpg,9.024438,2.3359942
